ablation_id,experiment_name,category,changed_component,variant_description,splitter,seed_set,OOF macro-F1,class0 F1,class1 F1,best_threshold,threshold_fragility,seed_std,public_lb_score,public_oof_delta,note,risk_flag,status,report_dir,oof_path
feat_all_features,tab_all_features,feature,all_features,All tabular feature groups enabled,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_lexical,tab_no_lexical,feature,use_lexical_features,All features except use_lexical_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_category,tab_no_category,feature,use_category_features,All features except use_category_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_brand,tab_no_brand,feature,use_brand_features,All features except use_brand_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_attribute,tab_no_attribute,feature,use_attribute_features,All features except use_attribute_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_gender_age,tab_no_gender_age,feature,use_gender_age_features,All features except use_gender_age_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_query_features,tab_no_query_features,feature,use_query_features,All features except use_query_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_retrieval,tab_no_retrieval,feature,use_retrieval_features,All features except use_retrieval_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_semantic,tab_no_semantic,feature,use_semantic_features,All features except use_semantic_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_no_metadata,tab_no_metadata,feature,use_metadata_features,All features except use_metadata_features,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_only_core_features,tab_only_core_features,feature,only_core_features,"Only feature groups: use_lexical_features, use_category_features, use_brand_features, use_attribute_features, use_gender_age_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_only_lexical_category_brand,tab_only_lexical_category_brand,feature,only_lexical_category_brand,"Only feature groups: use_lexical_features, use_category_features, use_brand_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_only_attribute_gender_age,tab_only_attribute_gender_age,feature,only_attribute_gender_age,"Only feature groups: use_attribute_features, use_gender_age_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_lexical_plus_retrieval,tab_lexical_plus_retrieval,feature,lexical_plus_retrieval,"Only feature groups: use_lexical_features, use_retrieval_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
feat_attribute_plus_semantic,tab_attribute_plus_semantic,feature,attribute_plus_semantic,"Only feature groups: use_attribute_features, use_gender_age_features, use_semantic_features",term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_attribute_conflict,tab_no_attribute_conflict,feature,attribute_conflict_signals,Attribute exact/conflict signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_gender_conflict,tab_no_gender_conflict,feature,gender_conflict,Gender conflict signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_age_conflict,tab_no_age_conflict,feature,age_conflict,Age conflict signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_brand_contradiction,tab_no_brand_contradiction,feature,brand_contradiction,Brand contradiction/exact signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
sig_no_size_number,tab_no_size_number,feature,size_number,Size/number signals off,term_group,42,,,,,,,,,"missing_data: data/items.csv,data/processed/train_with_negatives.parquet",needs_fold_safe_recheck,not_run,,
