experiment_id,experiment_name,model_family,threshold,OOF macro-F1,class0 F1,class1 F1,public_lb_score,public_minus_oof,threshold_fragility,seed_std,risk_flag,threshold_extreme_flag,threshold_public_risk_flag
feat_all_features,tab_all_features,tabular,,,,,,,,,,False,False
feat_no_lexical,tab_no_lexical,tabular,,,,,,,,,,False,False
feat_no_category,tab_no_category,tabular,,,,,,,,,,False,False
feat_no_brand,tab_no_brand,tabular,,,,,,,,,,False,False
feat_no_attribute,tab_no_attribute,tabular,,,,,,,,,,False,False
feat_no_gender_age,tab_no_gender_age,tabular,,,,,,,,,,False,False
feat_no_query_features,tab_no_query_features,tabular,,,,,,,,,,False,False
feat_no_retrieval,tab_no_retrieval,retrieval_heavy,,,,,,,,,RETRIEVAL_FEATURE_DRIFT,False,False
feat_no_semantic,tab_no_semantic,tabular,,,,,,,,,,False,False
feat_no_metadata,tab_no_metadata,tabular,,,,,,,,,,False,False
feat_only_core_features,tab_only_core_features,tabular,,,,,,,,,,False,False
feat_only_lexical_category_brand,tab_only_lexical_category_brand,tabular,,,,,,,,,,False,False
feat_only_attribute_gender_age,tab_only_attribute_gender_age,tabular,,,,,,,,,,False,False
feat_lexical_plus_retrieval,tab_lexical_plus_retrieval,retrieval_heavy,,,,,,,,,RETRIEVAL_FEATURE_DRIFT,False,False
feat_attribute_plus_semantic,tab_attribute_plus_semantic,tabular,,,,,,,,,,False,False
neg_easy_only,tab_easy_only_neg,tabular,,,,,,,,,,False,False
neg_easy_plus_same_category,tab_easy_plus_same_category_neg,tabular,,,,,,,,,,False,False
neg_easy_plus_same_brand,tab_easy_plus_same_brand_neg,tabular,,,,,,,,,,False,False
neg_easy_plus_attribute_conflict,tab_easy_plus_attribute_conflict_neg,tabular,,,,,,,,,,False,False
neg_easy_plus_lexical_confusing,tab_easy_plus_lexical_confusing_neg,tabular,,,,,,,,,,False,False
neg_easy_plus_dense_hard,tab_easy_plus_dense_hard_neg,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
neg_full_negative_mix,tab_full_negative_mix_neg,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
neg_full_negative_mix_without_dense,tab_full_negative_mix_without_dense_neg,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
neg_strict_false_negative_filter,tab_strict_false_negative_filter_neg,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
neg_moderate_false_negative_filter,tab_moderate_false_negative_filter_neg,dense_enhanced,,,,,,,,,DENSE_ARTIFACT_RISK,False,False
